bag	treatment	inoculum	site	bagnum
1D01	transplant	desert	D	1
1D02	transplant	desert	D	2
1D03	transplant	desert	D	3
1D04	transplant	desert	D	4
1G01	transplant	grassland	D	1
1G02	transplant	grassland	D	2
1G03	transplant	grassland	D	3
1G04	transplant	grassland	D	4
1P01	transplant	oak-pine	D	1
1P02	transplant	oak-pine	D	2
1P03	transplant	oak-pine	D	3
1P04	transplant	oak-pine	D	4
1S01	transplant	subalpine	D	1
1S02	transplant	subalpine	D	2
1S03	transplant	subalpine	D	3
1S04	transplant	subalpine	D	4
1W01	transplant	scrubland	D	1
1W02	transplant	scrubland	D	2
1W03	transplant	scrubland	D	3
1W04	transplant	scrubland	D	4
ZD01	inoculum	desert	D	1
ZD02	inoculum	desert	D	2
ZD03	inoculum	desert	D	3
ZD04	inoculum	desert	D	4
2D01	transplant	desert	G	1
2D02	transplant	desert	G	2
2D04	transplant	desert	G	4
2G01	transplant	grassland	G	1
2G02	transplant	grassland	G	2
2G03	transplant	grassland	G	3
2G04	transplant	grassland	G	4
2P01	transplant	oak-pine	G	1
2P02	transplant	oak-pine	G	2
2P03	transplant	oak-pine	G	3
2P04	transplant	oak-pine	G	4
2S01	transplant	subalpine	G	1
2S02	transplant	subalpine	G	2
2S03	transplant	subalpine	G	3
2S04	transplant	subalpine	G	4
2W01	transplant	scrubland	G	1
2W02	transplant	scrubland	G	2
2W03	transplant	scrubland	G	3
2W04	transplant	scrubland	G	4
ZG01	inoculum	grassland	G	1
ZG02	inoculum	grassland	G	2
ZG03	inoculum	grassland	G	3
ZG04	inoculum	grassland	G	4
3D01	transplant	desert	P	1
3D02	transplant	desert	P	2
3D03	transplant	desert	P	3
3D04	transplant	desert	P	4
3G01	transplant	grassland	P	1
3G02	transplant	grassland	P	2
3G03	transplant	grassland	P	3
3G04	transplant	grassland	P	4
3P01	transplant	oak-pine	P	1
3P02	transplant	oak-pine	P	2
3P03	transplant	oak-pine	P	3
3P04	transplant	oak-pine	P	4
3S01	transplant	subalpine	P	1
3S02	transplant	subalpine	P	2
3S03	transplant	subalpine	P	3
3S04	transplant	subalpine	P	4
3W01	transplant	scrubland	P	1
3W02	transplant	scrubland	P	2
3W03	transplant	scrubland	P	3
3W04	transplant	scrubland	P	4
ZP01	inoculum	oak-pine	P	1
ZP02	inoculum	oak-pine	P	2
ZP03	inoculum	oak-pine	P	3
ZP04	inoculum	oak-pine	P	4
4D01	transplant	desert	W	1
4D02	transplant	desert	W	2
4D03	transplant	desert	W	3
4D04	transplant	desert	W	4
4G01	transplant	grassland	W	1
4G02	transplant	grassland	W	2
4G03	transplant	grassland	W	3
4G04	transplant	grassland	W	4
4P01	transplant	oak-pine	W	1
4P02	transplant	oak-pine	W	2
4P03	transplant	oak-pine	W	3
4P04	transplant	oak-pine	W	4
4S01	transplant	subalpine	W	1
4S02	transplant	subalpine	W	2
4S03	transplant	subalpine	W	3
4S04	transplant	subalpine	W	4
4W01	transplant	scrubland	W	1
4W02	transplant	scrubland	W	2
4W03	transplant	scrubland	W	3
4W04	transplant	scrubland	W	4
ZW01	inoculum	scrubland	W	1
ZW02	inoculum	scrubland	W	2
ZW03	inoculum	scrubland	W	3
ZW04	inoculum	scrubland	W	4
5D01	transplant	desert	S	1
5D02	transplant	desert	S	2
5D03	transplant	desert	S	3
5D04	transplant	desert	S	4
5G01	transplant	grassland	S	1
5G02	transplant	grassland	S	2
5G03	transplant	grassland	S	3
5G04	transplant	grassland	S	4
5P01	transplant	oak-pine	S	1
5P02	transplant	oak-pine	S	2
5P03	transplant	oak-pine	S	3
5P04	transplant	oak-pine	S	4
5S01	transplant	subalpine	S	1
5S02	transplant	subalpine	S	2
5S03	transplant	subalpine	S	3
5S04	transplant	subalpine	S	4
5W01	transplant	scrubland	S	1
5W02	transplant	scrubland	S	2
5W03	transplant	scrubland	S	3
5W04	transplant	scrubland	S	4
ZS01	inoculum	subalpine	S	1
ZS02	inoculum	subalpine	S	2
ZS03	inoculum	subalpine	S	3
ZS04	inoculum	subalpine	S	4
