bag	Proteobacteria	Actinobacteria	Bacteroidetes	Acidobacteria	NA.	other
1D01	0.538517442	0.316618217	0.115148579	0	0.006136951	0.023578811
1D02	0.46233053	0.309850695	0.185687318	0.002917453	0.010897546	0.028316458
1D03	0.622067767	0.272806255	0.0752141	0.000248231	0.005212858	0.024450788
1D04	0.598976109	0.345197465	0.031691858	0	0.004631887	0.019502682
1G01	0.726629241	0.164510618	0.07542104	0.000976324	0.008786917	0.02367586
1G02	0.745397571	0.145188667	0.084214649	0.000130565	0.005744875	0.019323671
1G03	0.75916163	0.170759933	0.042689983	0.000771506	0.005786293	0.020830654
1G04	0.633733239	0.208468596	0.13592096	0.000564573	0.004657728	0.016654905
1P01	0.617845772	0.281742642	0.085967228	0.000155316	0.003649918	0.010639124
1P02	0.571927478	0.307029276	0.101946797	0.000297221	0.003566652	0.015232575
1P03	0.779536842	0.142905263	0.066526316	8.42105E-05	0.003789474	0.007157895
1P04	0.696801899	0.177873206	0.111085998	0.001808114	0.004407278	0.008023505
1S01	0.660062817	0.250302005	0.054119353	0.000483209	0.010630587	0.024402029
1S02	0.700950397	0.204009895	0.081890379	0.002603828	0.003124593	0.007420909
1S03	0.709587403	0.225732509	0.050727526	0.000597967	0.005282041	0.008072553
1S04	0.654169696	0.248935507	0.080797591	0.002284765	0.004673382	0.009139059
1W01	0.743024578	0.188576926	0.04425785	0.000349864	0.003323712	0.020467069
1W02	0.736842105	0.230871296	0.015479876	0	0.004717677	0.012089046
1W03	0.840594673	0.1094363	0.034276275	0.001445385	0.003923188	0.010324179
1W04	0.76138202	0.191241045	0.034203836	0.000115554	0.003004391	0.010053155
2D01	0.487437713	0.281143457	0.175976921	0.002989772	0.009388933	0.043063205
2D02	0.539452599	0.144029229	0.265431703	0.000705083	0.009807064	0.040574322
2D04	0.550101122	0.287093216	0.112888399	0.003217503	0.008825152	0.037874609
2G01	0.478349341	0.295946606	0.152938304	0.031580661	0.008627706	0.032557382
2G02	0.504521182	0.173869705	0.250622998	0.017301531	0.010751157	0.042933428
