bag	cellspergdryweight	totalcurto
1D01	1310000000	110330264.9
1D02	2820000000	108163720.6
1D03	1130000000	99718257.42
1D04	2700000000	384397854.7
1G01	748000000	78871369.29
1G02	3080000000	190212821.5
1G03	3210000000	332268226.8
1G04	2770000000	331148906.1
1P01	3430000000	668579638.1
1P02	2960000000	654991826.4
1P03	4990000000	533667368.5
1P04	3190000000	359771725.6
1S01	493000000	86117178.06
1S02	2760000000	295008462.4
1S03	2380000000	369784731.9
1S04	5700000000	945954927.8
1W01	3950000000	287103122.5
1W02	1710000000	164873949.6
1W03	847000000	48095188.93
1W04	1450000000	113935752.3
2D01	1730000000	31033831.63
2D02	4290000000	54171527.47
2D04	8310000000	130631549.9
2G01	1590000000	49825004.06
2G02	4500000000	47419010.32
2G03	1810000000	32062576.36
2G04	5560000000	135558256.1
2P01	9490000000	67573700.67
2P02	7300000000	286636678.9
2P03	8560000000	169575102.1
2P04	9380000000	118154057.6
2S01	3310000000	87607037.2
2S02	5270000000	40566829.95
2S03	7500000000	99827960.88
2S04	8170000000	60112529.76
2W01	6430000000	92278157.64
2W02	10200000000	203463739
2W03	2490000000	34422765.92
2W04	9320000000	73577171
3D01	8680000000	129815677.3
3D02	16900000000	453799276.4
3D03	4630000000	56702143.17
3D04	6920000000	92199306.44
3G01	4050000000	73855986.36
3G02	12300000000	144008967.9
3G03	5130000000	60085285.43
3G04	13400000000	151965725.8
3P01	8580000000	132194851.9
3P02	2540000000	33723919.92
3P03	14000000000	251190040.3
3P04	19500000000	288084930.9
3S01	5510000000	124292688.4
3S02	5510000000	116894436.4
3S03	4580000000	46559181.56
3S04	9840000000	147897402.4
3W01	3700000000	76713600.49
3W02	5560000000	85586560.76
3W03	58200000	1075652.223
3W04	10400000000	240512677.6
4D01	2080000000	287656509.7
4D02	1660000000	242174122.7
4D03	2050000000	222681582.3
4D04	1750000000	163319723.4
4G01	4680000000	354387527.8
4G02	11100000000	1163010333
4G03	6210000000	216198698
4G04	5650000000	108264819
4P01	4200000000	177154833.7
4P02	7380000000	962608695.6
4P03	4880000000	551725813.5
4P04	1910000000	264190057.2
4S01	3550000000	141659336.3
4S02	3680000000	143116474.3
4S03	10100000000	670678564
4S04	1370000000	88557097.6
4W01	4050000000	130138359.1
4W02	4190000000	408998023.4
4W03	10400000000	498024048.9
4W04	3020000000	293117647.1
5D01	2560000000	129925543.2
5D02	8080000000	319494340.7
5D03	17000000000	632646818.9
5D04	3270000000	120886951.4
5G01	13200000000	264945026.8
5G02	8750000000	189157684.4
5G03	7990000000	162375613.2
5G04	6390000000	165528588.1
5P01	11700000000	238936442.7
5P02	11700000000	230407623.1
5P03	7420000000	128862497
5P04	9230000000	177069305.4
5S01	14600000000	280393032.6
5S02	4060000000	45289500.09
5S03	5390000000	86099953.59
5S04	6680000000	95332999.51
5W01	4840000000	90246881.5
5W02	8470000000	153612775.5
5W03	5180000000	157891373.8
5W04	9410000000	141797670.4
ZD01	580000000	8308894.463
ZD02	459000000	7764920.828
ZD03	955000000	13036488.32
ZD04	1100000000	17706964.52
ZG01	535000000	70757615.2
ZG02	1010000000	172056390.3
ZG03	1220000000	200362720.4
ZG04	682000000	109199248.1
ZP01	1790000000	18997641.51
ZP02	3250000000	47245296.84
ZP03	538000000	7018684.356
ZP04	1330000000	18857605.83
ZS01	875000000	13305575.67
ZS02	1100000000	14648065.95
ZS03	1420000000	17012541.16
ZS04	715000000	8892919.609
ZW01	300000000	10728714.65
ZW02	842000000	31826128.04
ZW03	608000000	22317267.8
ZW04	560000000	21571839.71
