	1D01	1D02	1D03	1D04	1G01	1G02	1G03	1G04	1P01	1P02	1P03	1P04	1S01	1S02	1S03	1S04	1W01	1W02	1W03	1W04	2D01	2D02	2D04	2G01	2G02	2G03	2G04	2P01	2P02	2P03	2P04	2S01	2S02	2S03	2S04	2W01	2W02	2W03	2W04	3D01	3D02	3D03	3D04	3G01	3G02	3G03	3G04	3P01	3P02	3P03	3P04	3S01	3S02	3S03	3S04	3W01	3W02	3W03	3W04	4D01	4D02	4D03	4D04	4G01	4G02	4G03	4G04	4P01	4P02	4P03	4P04	4S01	4S02	4S03	4S04	4W01	4W02	4W03	4W04	5D01	5D02	5D03	5D04	5G01	5G02	5G03	5G04	5P01	5P02	5P03	5P04	5S01	5S02	5S03	5S04	5W01	5W02	5W03	5W04	ZD01	ZD02	ZD03	ZD04	ZG01	ZG02	ZG03	ZG04	ZP01	ZP02	ZP03	ZP04	ZS01	ZS02	ZS03	ZS04	ZW01	ZW02	ZW03	ZW04
F	665	415	341	477	626	513	990	755	17347	12275	8354	4306	1285	1218	4428	3313	579	790	106	539	823	349	702	2186	597	1259	3487	405	4014	1557	936	754	322	212	642	784	764	1096	515	410	966	316	613	492	321	789	562	302	317	365	695	1407	705	366	506	354	418	1059	630	1089	1383	559	804	1473	1591	819	424	2238	4544	3596	9274	1320	942	4449	3666	536	1028	1356	658	450	929	470	1362	685	691	574	465	633	1157	1205	609	415	601	859	465	996	1074	479	499	1121	748	792	1198	883	1646	2267	1309	462	297	322	321	391	433	526	574	416	573	428	902
I	330	47	202	368	79	96	149	136	239	202	133	64	15	31	77	70	103	68	16	69	93	41	28	81	22	73	21	28	104	89	30	85	26	24	60	56	47	76	36	48	89	27	57	44	22	70	58	18	23	36	54	90	39	30	47	41	44	71	59	577	593	155	199	206	322	157	64	52	87	102	194	79	41	104	97	84	174	161	221	48	61	30	483	119	112	121	176	47	107	89	55	34	45	69	47	97	94	58	76	242	165	184	263	163	360	476	324	47	22	35	33	32	40	34	47	46	45	51	92
IA	1055	532	396	1696	491	602	1382	1429	854	3618	431	416	901	1453	2632	3114	1441	1139	271	507	324	185	214	201	49	245	105	56	450	141	59	560	31	72	100	107	224	184	105	138	535	57	242	170	66	113	110	46	33	27	57	112	94	37	57	94	128	210	177	1043	2649	704	443	2063	3059	651	425	213	2236	643	756	199	322	698	309	374	1827	516	1709	714	881	297	194	126	191	375	132	60	116	115	60	41	66	82	50	220	208	169	139	116	98	100	135	367	842	1144	678	45	25	32	32	31	39	48	43	107	210	101	212
IBC	6981	2387	6269	6267	2748	3349	6344	7599	5448	11242	2625	1561	2037	3201	7284	9066	6316	4292	1359	3970	1739	1294	651	1266	325	1302	533	491	2317	1175	436	1574	328	290	578	767	977	999	588	719	2266	347	1113	667	419	732	951	243	293	309	586	1083	607	319	436	689	742	1110	1316	11646	24877	6721	10454	10067	12247	4592	2970	1032	5735	2607	4000	1104	1299	2360	1940	2627	10427	4250	7618	1902	2684	1719	5294	1711	1385	1677	1805	570	962	915	536	345	551	662	452	1326	1306	1339	997	1547	1095	1106	1498	2270	4607	6532	4344	354	217	270	253	325	370	404	479	833	1084	724	1687
II	1791	631	724	2985	497	720	1240	1295	3118	8725	1494	977	804	1400	4288	3378	2540	2080	417	729	710	441	316	373	149	413	262	139	1827	547	276	1108	134	236	298	295	437	447	259	351	988	187	532	249	162	356	287	134	143	157	315	503	343	202	217	238	303	541	370	1689	4615	1312	963	2202	2851	717	434	529	2668	2514	2577	614	627	1009	1424	564	2323	934	2965	1171	1565	655	649	319	400	535	330	281	509	445	279	179	262	321	231	489	598	299	311	515	310	367	499	516	1201	1521	918	170	135	130	125	158	193	223	249	255	384	274	440
IIA	41	23	30	39	12	12	36	29	110	136	51	33	9	25	76	49	28	38	7	12	43	16	18	24	13	28	27	8	61	27	10	31	9	11	24	17	26	25	25	30	50	8	26	15	23	31	17	10	17	16	30	52	19	18	27	20	22	43	31	59	72	26	40	59	60	29	7	18	59	62	107	36	16	48	37	37	36	60	39	29	50	19	75	30	34	31	28	18	60	42	31	15	28	28	19	54	43	13	19	50	47	36	61	13	37	48	42	16	11	9	7	9	17	15	25	14	15	19	37
IIB	1782	460	679	3223	369	334	825	866	629	2541	272	288	493	892	1601	1960	1385	2332	482	691	472	336	233	142	39	161	111	42	314	92	51	432	26	48	72	136	313	116	120	186	800	91	313	80	48	97	82	20	33	26	64	117	64	30	34	138	152	188	182	1436	5015	1257	620	1204	1844	377	246	119	1367	574	527	161	202	460	201	381	1924	469	2977	644	823	432	172	90	122	232	103	66	66	88	54	39	47	68	41	189	281	169	79	97	81	69	90	240	526	717	389	33	20	16	25	24	30	40	36	115	252	129	210
III	590	247	364	892	236	310	729	771	3651	3798	1759	806	370	500	1675	1402	631	663	155	296	279	150	152	267	100	267	263	71	972	395	176	379	80	95	163	203	222	288	135	163	427	85	240	143	100	182	170	76	95	104	188	268	169	106	164	119	129	277	215	983	1646	502	474	999	1261	373	180	496	1490	1126	2073	364	299	594	942	247	849	428	806	351	480	227	443	227	236	219	160	194	322	310	166	123	134	226	123	228	261	161	176	289	215	227	339	353	701	1013	706	140	66	69	72	87	91	114	147	132	171	137	277
IIIA	25	19	31	23	10	14	13	17	4420	2877	2105	814	23	37	663	222	28	60	12	34	41	30	21	34	26	38	65	42	814	200	176	61	24	14	40	37	57	89	28	21	86	11	37	19	10	51	24	38	24	19	41	58	26	16	25	19	22	72	35	40	90	19	37	45	33	29	19	491	967	632	2400	160	82	91	795	29	85	51	33	24	51	24	57	26	22	29	21	25	54	118	34	28	24	44	21	44	53	12	24	35	26	31	47	28	42	84	42	27	27	19	21	16	22	14	30	23	28	25	51
IV	386	227	219	274	39	90	114	123	502	557	637	187	92	249	302	325	247	172	54	151	570	204	250	518	192	378	298	176	726	540	200	454	214	112	349	397	305	539	261	378	671	230	497	275	201	509	416	211	242	326	550	915	430	313	428	285	300	785	481	683	675	464	720	560	411	395	143	206	282	384	775	580	249	748	559	315	261	839	326	349	667	374	1252	553	551	334	355	589	1067	846	547	354	551	725	448	845	827	281	398	773	542	579	947	155	351	433	329	576	368	390	415	561	580	581	649	706	1270	703	2134
