bag	I	IA	IBC	II	IIA	IIB	III	IIIA	IV	IVA	IVB	IVC	UNK	VA
1D01	2.00E+06	6.38E+06	4.22E+07	1.08E+07	2.48E+05	1.08E+07	3.57E+06	1.51E+05	2.33E+06	1.07E+07	6.14E+06	4.76E+06	5.37E+06	4.88E+06
1D02	8.75E+05	9.91E+06	4.45E+07	1.18E+07	4.28E+05	8.57E+06	4.60E+06	3.54E+05	4.23E+06	2.10E+06	9.67E+06	1.36E+06	1.38E+06	8.49E+06
1D03	1.59E+06	3.13E+06	4.95E+07	5.71E+06	2.37E+05	5.36E+06	2.87E+06	2.45E+05	1.73E+06	9.63E+06	5.08E+06	6.15E+06	4.73E+06	3.78E+06
1D04	6.78E+06	3.13E+07	1.16E+08	5.50E+07	7.19E+05	5.94E+07	1.64E+07	4.24E+05	5.05E+06	4.02E+07	1.29E+07	1.00E+07	1.89E+07	1.17E+07
1G01	1.14E+06	7.09E+06	3.97E+07	7.18E+06	1.73E+05	5.33E+06	3.41E+06	1.44E+05	5.63E+05	3.22E+06	2.15E+06	1.75E+06	1.33E+06	5.72E+06
1G02	2.87E+06	1.80E+07	1.00E+08	2.15E+07	3.59E+05	9.99E+06	9.28E+06	4.19E+05	2.69E+06	3.80E+06	7.93E+06	1.17E+06	2.30E+06	9.63E+06
1G03	3.90E+06	3.62E+07	1.66E+08	3.25E+07	9.43E+05	2.16E+07	1.91E+07	3.41E+05	2.99E+06	7.12E+06	9.04E+06	2.59E+06	3.20E+06	2.66E+07
1G04	3.23E+06	3.39E+07	1.80E+08	3.08E+07	6.89E+05	2.06E+07	1.83E+07	4.04E+05	2.92E+06	7.53E+06	1.03E+07	1.92E+06	3.59E+06	1.65E+07
1P01	5.92E+06	2.11E+07	1.35E+08	7.72E+07	2.72E+06	1.56E+07	9.04E+07	1.09E+08	1.24E+07	8.19E+06	4.16E+07	6.81E+06	7.50E+06	1.35E+08
1P02	3.26E+06	5.83E+07	1.81E+08	1.41E+08	2.19E+06	4.10E+07	6.13E+07	4.64E+07	8.98E+06	5.18E+06	2.55E+07	3.47E+06	3.81E+06	7.36E+07
