sampleID	total
curto_D1-1-t1	       6
curto_D1-2-t1	       7
curto_D2-1-t1	      10
curto_D2-5-t1	      10
curto_D3-1-t1	      10
curto_D3-5-t1	      10
curto_D4-1-t1	       8
curto_D4-5-t1	       5
curto_D5-1-t1	       9
curto_D5-5-t1	       8
curto_D1-2-t2	       7
curto_D1-4-t2	      10
curto_D2-10-t2	       9
curto_D2-6-t2	       7
curto_D3-4-t2	       5
curto_D4-2-t2	       9
curto_D4-4-t2	       8
curto_D5-2-t2	       7
curto_D5-4-t2	      11
curto_D1-1-t3	       6
curto_D1-3-t3	       5
curto_D2-1-t3	       8
curto_D2-2-t3	       8
curto_D2-3-t3	       7
curto_D3-1-t3	      11
curto_D3-2-t3	      10
curto_D3-3-t3	       7
curto_D4-1-t3	      10
curto_D5-1-t3	       6
curto_D5-3-t3	      10
curto_W1-1-t1	       8
curto_W1-5-t1	      12
curto_W2-1-t1	       9
curto_W2-5-t1	       9
curto_W3-1-t1	       7
curto_W3-5-t1	       5
curto_W4-1-t1	       7
curto_W4-5-t1	       8
curto_W5-1-t1	       6
curto_W5-5-t1	       7
curto_W1-2-t2	       6
curto_W1-4-t2	      16
curto_W2-2-t2	       7
curto_W2-4-t2	       6
curto_W3-2-t2	       6
curto_W3-4-t2	       7
curto_W4-2-t2	       4
curto_W4-4-t2	       6
curto_W5-2-t2	       7
curto_W5-4-t2	       6
curto_W2-2-t3	      10
curto_W2-3-t3	       8
curto_G2-1-t1	      10
curto_G2-5-t1	       9
curto_G2-2-t2	       7
curto_G2-4-t2	       6
curto_G3-2-t2	      11
curto_G3-4-t2	       6
curto_G4-2-t2	      12
curto_G4-4-t2	       5
curto_G5-4-t2	      10
curto_G2-3-t3	       5
curto_G4-2-t3	       6
curto_P1-1-t1	       8
curto_P1-5-t1	       7
curto_P3-8-t1	       7
curto_P4-5-t1	       7
curto_P5-5-t1	       7
curto_P1-2-t2	      10
curto_P1-4-t2	       7
curto_P2-2-t2	       8
curto_P2-4-t2	       5
curto_P3-2-t2	       7
curto_P3-4-t2	       8
curto_P4-2-t2	       6
curto_P4-4-t2	       7
curto_P5-2-t2	       4
curto_P5-4-t2	       6
curto_P1-3-t3	       7
curto_P2-2-t3	       9
curto_P3-1-t3	       7
curto_P3-2-t3	       7
curto_P4-1-t3	       6
curto_P4-2-t3	       8
curto_P4-3-t3	       6
curto_P5-2-t3	       6
curto_P5-3-t3	       7
curto_S1-1-t1	       6
curto_S1-5-t1	       9
curto_S2-1-t1	       9
curto_S2-5-t1	       5
curto_S3-1-t1	       6
curto_S3-5-t1	       9
curto_S4-1-t1	       8
curto_S4-5-t1	       6
curto_S5-1-t1	       7
curto_S5-5-t1	       8
curto_S1-2-t2	       9
curto_S1-3-t2	       8
curto_S2-1-t2	       7
curto_S2-2-t2	      10
curto_S3-3-t2	       7
curto_S5-1-t2	       9
curto_S5-2-t2	       9
curto_S5-3-t2	       8
curto_S5-4-t2	      10
curto_S1-1-t3	       7
curto_S1-2-t3	       7
curto_S1-3-t3	       9
curto_S2-1-t3	       7
curto_S2-2-t3	      12
curto_S2-3-t3	       7
