Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
curto_D1-1-t1.final	9	3737005	1017358	921917	71
curto_D1-1-t1.scaffolds	40	3744466	1017358	921917	71
curto_D1-1-t3.final	19	3736618	603351	266919	71
curto_D1-1-t3.scaffolds	172	3779001	603351	266919	71
curto_D1-2-t1.final	15	3736767	712218	603553	71
curto_D1-2-t1.scaffolds	1347	4130248	712218	405553	70
curto_D1-2-t2.final	19	3753391	921916	301442	71
curto_D1-2-t2.scaffolds	36	3757404	921916	301442	71
curto_D1-3-t3.final	17	3737630	712218	395587	71
curto_D1-3-t3.scaffolds	176	3780294	712218	395587	71
curto_D1-4-t2.final	14	3736588	921916	405758	71
curto_D1-4-t2.scaffolds	503	3873569	921916	342929	70
curto_D2-1-t1.final	13	3736535	712218	603506	71
curto_D2-1-t1.scaffolds	1215	4099288	712218	405838	70
curto_D2-1-t3.final	23	3753300	712218	222755	71
curto_D2-1-t3.scaffolds	106	3774970	712218	222755	70
curto_D2-10-t2.final	16	3737297	921916	343199	71
curto_D2-10-t2.scaffolds	1027	4031701	921916	343199	70
curto_D2-2-t3.final	11	3737536	1017642	921915	71
curto_D2-2-t3.scaffolds	1590	4200734	1017642	417307	69
curto_D2-3-t3.final	17	3737405	603501	395542	71
curto_D2-3-t3.scaffolds	45	3744182	603501	395542	71
curto_D2-5-t1.final	17	3736501	921915	342929	71
curto_D2-5-t1.scaffolds	2283	4424782	921915	321431	69
curto_D2-6-t2.final	13	3736782	921916	405550	71
curto_D2-6-t2.scaffolds	83	3754152	921916	405550	71
curto_D3-1-t1.final	15	3737525	921916	405584	71
curto_D3-1-t1.scaffolds	1957	4311724	921916	395513	69
curto_D3-1-t3.final	15	3737369	921827	408929	71
curto_D3-1-t3.scaffolds	38	3743007	921827	408929	71
curto_D3-2-t3.final	20	3735881	488195	317360	71
curto_D3-2-t3.scaffolds	213	3788737	488195	317360	70
curto_D3-3-t3.final	16	3735954	712217	603337	71
curto_D3-3-t3.scaffolds	42	3742020	712217	603337	71
curto_D3-4-t2.final	12	3737322	921828	367228	71
curto_D3-4-t2.scaffolds	76	3753819	921828	367228	71
curto_D3-5-t1.final	13	3739579	921916	557184	71
curto_D3-5-t1.scaffolds	2296	4433488	921916	557184	69
curto_D4-1-t1.final	15	3737040	921917	342929	71
curto_D4-1-t1.scaffolds	78	3752532	921917	342929	71
curto_D4-1-t3.final	14	3736539	712219	395563	71
curto_D4-1-t3.scaffolds	387	3841650	712219	395563	70
curto_D4-2-t2.final	17	3736805	611082	408877	71
